frequency_Hz,attack_angle_deg,chord_length_m,free_stream_velocity_m_s,suction_side_displacement_thickness_m,scaled_sound_pressure_dB
6300.0,3.0,0.3048,71.3,0.00425727,116.134
1250.0,9.9,0.1524,55.5,0.0208438,121.635
12500.0,4.8,0.0254,71.3,0.000848633,127.688
400.0,17.4,0.0254,31.7,0.0176631,120.766
2000.0,2.0,0.2286,71.3,0.00293031,126.896
800.0,22.2,0.0254,39.6,0.0229028,137.076
1250.0,2.7,0.1524,71.3,0.00243851,130.144
800.0,15.4,0.0508,71.3,0.0264269,131.515
500.0,12.3,0.1016,55.5,0.0368233,133.774
1600.0,0.0,0.3048,31.7,0.00331266,122.365
2000.0,8.4,0.0508,39.6,0.00566229,129.965
500.0,0.0,0.3048,31.7,0.00331266,127.315
6300.0,0.0,0.2286,71.3,0.00214345,122.044
630.0,3.0,0.3048,55.5,0.00452492,129.569
400.0,7.3,0.2286,39.6,0.0123481,132.039
4000.0,0.0,0.3048,31.7,0.00331266,118.145
1600.0,15.4,0.0508,71.3,0.0264269,130.065
800.0,2.0,0.2286,55.5,0.00313525,128.492
1000.0,3.0,0.3048,31.7,0.00529514,126.838
2000.0,6.7,0.1016,71.3,0.00478288,134.568
2000.0,4.0,0.2286,31.7,0.00509068,122.089
1250.0,19.7,0.0508,39.6,0.036484,118.634
8000.0,0.0,0.1016,55.5,0.00131983,124.45
400.0,17.4,0.0254,71.3,0.016104,117.396
3150.0,5.4,0.1524,55.5,0.00433288,121.587
3150.0,3.0,0.3048,71.3,0.00425727,121.514
1600.0,15.4,0.0508,31.7,0.0289853,121.485
200.0,15.4,0.0508,71.3,0.0264269,123.595
4000.0,4.8,0.0254,55.5,0.000873218,133.924
315.0,17.4,0.0254,55.5,0.0165706,111.911
2000.0,9.9,0.1524,31.7,0.0252785,116.859
5000.0,0.0,0.3048,55.5,0.00283081,119.606
800.0,0.0,0.1016,31.7,0.00150092,129.053
1600.0,3.3,0.1016,39.6,0.00245138,133.071
315.0,17.4,0.0254,39.6,0.0172206,115.144
6300.0,0.0,0.1524,39.6,0.00193287,121.313
200.0,15.4,0.0508,39.6,0.0282593,121.783
315.0,2.0,0.2286,31.7,0.00372371,120.147
315.0,8.9,0.1016,39.6,0.0124596,135.38
3150.0,11.2,0.0508,39.6,0.0150478,119.67
1000.0,8.9,0.1016,39.6,0.0124596,129.58
16000.0,1.5,0.3048,71.3,0.00336729,106.582
1000.0,2.0,0.2286,71.3,0.00293031,128.956
1250.0,0.0,0.0508,39.6,0.000791822,129.148
800.0,2.7,0.1524,71.3,0.00243851,127.394
2500.0,4.0,0.2286,31.7,0.00509068,120.209
1000.0,0.0,0.0508,31.7,0.000812164,126.78
1600.0,0.0,0.1524,31.7,0.00209405,130.817
16000.0,0.0,0.0254,39.6,0.000428464,124.986
1000.0,12.3,0.1016,55.5,0.0368233,125.484
10000.0,0.0,0.0508,55.5,0.00076193,127.636
1000.0,12.3,0.1016,39.6,0.0408268,122.435
6300.0,15.6,0.1016,39.6,0.0528487,104.204
1600.0,0.0,0.2286,39.6,0.00253511,127.095
3150.0,0.0,0.1524,55.5,0.00172668,127.753
2500.0,9.9,0.1524,31.7,0.0252785,114.729
3150.0,4.8,0.0254,71.3,0.000848633,133.378
630.0,0.0,0.2286,31.7,0.0027238,129.465
5000.0,4.2,0.0508,71.3,0.00142788,132.828
630.0,22.2,0.0254,39.6,0.0229028,137.026
1000.0,9.5,0.0254,39.6,0.00449821,130.374
5000.0,0.0,0.0254,31.7,0.000439472,138.607
5000.0,3.0,0.3048,55.5,0.00452492,117.309
5000.0,4.0,0.2286,55.5,0.0042862,120.034
5000.0,5.3,0.2286,39.6,0.00614329,115.311
800.0,6.7,0.1016,55.5,0.0052139,135.953
2500.0,3.3,0.1016,39.6,0.00245138,130.791
3150.0,12.3,0.1016,39.6,0.0408268,113.055
2000.0,12.7,0.0254,39.6,0.0130253,129.567
4000.0,3.3,0.1016,39.6,0.00245138,124.881
4000.0,3.0,0.3048,31.7,0.00529514,115.608
3150.0,0.0,0.3048,55.5,0.00283081,123.236
10000.0,7.2,0.1524,71.3,0.00752039,110.313
